b'-BEGIN HEADER-\r
NASA/POWER Source Native Resolution Hourly Data \r
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST\r
Location: Latitude  47.99   Longitude 139.53 \r
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 287.71 meters\r
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 \r
Parameter(s): \r
ALLSKY_SRF_ALB         CERES SYN1deg All Sky Surface Albedo (dimensionless) \r
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) \r
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) \r
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) \r
T2M                    MERRA-2 Temperature at 2 Meters (C) \r
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) \r
-END HEADER-\r
YEAR,MO,DY,HR,ALLSKY_SRF_ALB,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,T2M,WS10M
2023,1,10,21,-999.0,0.0,0.0,0.0,-16.46,3.02
2023,1,10,22,-999.0,0.0,0.0,0.0,-16.16,3.13
2023,1,10,23,-999.0,0.0,0.0,0.0,-15.9,3.23
2023,1,11,0,-999.0,0.0,0.0,0.0,-15.86,3.41
2023,1,11,1,-999.0,0.0,0.0,0.0,-15.83,3.55
2023,1,11,2,-999.0,0.0,0.0,0.0,-15.79,3.6
2023,1,11,3,-999.0,0.0,0.0,0.0,-15.75,3.52
2023,1,11,4,-999.0,0.0,0.0,0.0,-15.68,3.32
2023,1,11,5,-999.0,0.0,0.0,0.0,-15.45,3.17
2023,1,11,6,-999.0,0.0,0.0,0.0,-14.82,3.03
2023,1,11,7,0.14,4.67,32.94,3.8,-13.51,2.74
2023,1,11,8,0.11,50.69,185.22,73.43,-11.81,2.23
2023,1,11,9,0.09,117.62,242.42,173.2,-10.03,1.79
2023,1,11,10,0.11,81.58,681.19,290.02,-8.28,1.48
2023,1,11,11,0.17,81.74,827.07,346.83,-7.03,0.97
2023,1,11,12,0.17,73.77,773.49,334.17,-6.36,0.67
2023,1,11,13,0.14,83.03,652.96,274.9,-6.2,0.49
2023,1,11,14,0.13,76.42,433.86,159.52,-6.42,0.47
2023,1,11,15,0.14,35.65,183.75,52.55,-7.13,0.37
2023,1,11,16,-999.0,0.0,0.0,0.0,-7.99,0.29
2023,1,11,17,-999.0,0.0,0.0,0.0,-8.54,0.31
2023,1,11,18,-999.0,0.0,0.0,0.0,-8.8,0.43
2023,1,11,19,-999.0,0.0,0.0,0.0,-9.02,0.87
2023,1,11,20,-999.0,0.0,0.0,0.0,-9.17,1.36
2023,1,11,21,-999.0,0.0,0.0,0.0,-9.21,1.79
2023,1,11,22,-999.0,0.0,0.0,0.0,-9.27,2.19
2023,1,11,23,-999.0,0.0,0.0,0.0,-9.29,2.46
2023,1,12,0,-999.0,0.0,0.0,0.0,-8.8,2.6
2023,1,12,1,-999.0,0.0,0.0,0.0,-9.13,2.9
2023,1,12,2,-999.0,0.0,0.0,0.0,-10.09,3.33
2023,1,12,3,-999.0,0.0,0.0,0.0,-10.68,3.76
2023,1,12,4,-999.0,0.0,0.0,0.0,-10.56,4.13
2023,1,12,5,-999.0,0.0,0.0,0.0,-10.43,4.06
2023,1,12,6,-999.0,0.0,0.0,0.0,-10.45,3.94
2023,1,12,7,0.15,5.19,8.56,3.58,-9.97,3.86
2023,1,12,8,0.14,40.47,223.47,74.35,-8.66,3.5
2023,1,12,9,0.14,108.15,387.34,189.3,-6.7,2.63
2023,1,12,10,0.11,89.14,622.49,284.85,-4.84,1.4
2023,1,12,11,0.1,93.01,695.4,331.4,-3.01,0.59
2023,1,12,12,0.1,86.58,716.33,331.3,-2.1,0.09
2023,1,12,13,0.14,77.3,668.39,276.95,-1.99,0.95
2023,1,12,14,0.14,97.27,325.94,173.1,-2.45,1.5
2023,1,12,15,0.15,34.86,210.58,61.03,-3.83,2.13
2023,1,12,16,-999.0,0.0,0.0,0.0,-5.39,2.7
2023,1,12,17,-999.0,0.0,0.0,0.0,-6.36,2.88
2023,1,12,18,-999.0,0.0,0.0,0.0,-6.85,3.14
2023,1,12,19,-999.0,0.0,0.0,0.0,-6.89,3.51
2023,1,12,20,-999.0,0.0,0.0,0.0,-6.92,3.6
2023,1,12,21,-999.0,0.0,0.0,0.0,-6.98,3.64
2023,1,12,22,-999.0,0.0,0.0,0.0,-6.92,3.61
2023,1,12,23,-999.0,0.0,0.0,0.0,-6.68,3.22
2023,1,13,0,-999.0,0.0,0.0,0.0,-6.32,2.7
2023,1,13,1,-999.0,0.0,0.0,0.0,-5.99,2.43
2023,1,13,2,-999.0,0.0,0.0,0.0,-5.54,1.76
2023,1,13,3,-999.0,0.0,0.0,0.0,-5.7,0.79
2023,1,13,4,-999.0,0.0,0.0,0.0,-6.33,1.04
2023,1,13,5,-999.0,0.0,0.0,0.0,-6.89,1.81
2023,1,13,6,-999.0,0.0,0.0,0.0,-7.49,2.69
2023,1,13,7,0.15,4.07,0.0,2.62,-7.91,3.18
2023,1,13,8,0.1,46.16,54.52,49.25,-7.54,3.19
2023,1,13,9,0.14,33.46,5.18,34.33,-5.9,3.2
2023,1,13,10,0.12,92.21,68.96,100.0,-4.49,2.81
2023,1,13,11,0.12,101.99,308.06,160.77,-3.26,2.72
2023,1,13,12,0.12,111.8,310.16,193.68,-2.19,2.7
2023,1,13,13,0.12,107.54,153.21,144.23,-1.55,2.97
2023,1,13,14,0.13,85.67,70.3,91.47,-1.66,3.09
2023,1,13,15,0.14,35.72,7.96,34.6,-2.85,3.58
2023,1,13,16,-999.0,0.0,0.0,0.0,-4.56,4.2
2023,1,13,17,-999.0,0.0,0.0,0.0,-5.91,4.46
2023,1,13,18,-999.0,0.0,0.0,0.0,-6.87,4.66
2023,1,13,19,-999.0,0.0,0.0,0.0,-7.66,4.64
2023,1,13,20,-999.0,0.0,0.0,0.0,-8.36,4.7
2023,1,13,21,-999.0,0.0,0.0,0.0,-9.15,4.63
2023,1,13,22,-999.0,0.0,0.0,0.0,-10.01,4.28
2023,1,13,23,-999.0,0.0,0.0,0.0,-10.82,4.04
2023,1,14,0,-999.0,0.0,0.0,0.0,-11.96,4.0
2023,1,14,1,-999.0,0.0,0.0,0.0,-13.24,4.07
2023,1,14,2,-999.0,0.0,0.0,0.0,-13.96,3.9
2023,1,14,3,-999.0,0.0,0.0,0.0,-14.15,3.67
2023,1,14,4,-999.0,0.0,0.0,0.0,-14.41,3.55
2023,1,14,5,-999.0,0.0,0.0,0.0,-15.45,3.44
2023,1,14,6,-999.0,0.0,0.0,0.0,-16.57,3.43
2023,1,14,7,0.14,5.51,11.84,4.15,-17.24,3.35
